what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1238122853375
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1238122853872
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1238122853877
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122853912
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122856023
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122868477
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1238122870322
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1238122870326
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1238122870537
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122873761
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122878831
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122879785
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122879925
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1238122880093
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1238122880720
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122892030
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122898980
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122899558
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1238122899643
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1238122901205
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122903475
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1238122906602
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122906643
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238122906652
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238122909141
