what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1238463767428
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1238463767444
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1238463767454
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1238463767465
started,bundle,org.eclipse.ecf.ui,2.0.0.v20080916-1301,org.eclipse.ecf.ui,1238463767946
started,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.msn.ui,1238463767948
started,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.irc.ui,1238463767962
started,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20080916-1301,org.eclipse.ecf.filetransfer.ui,1238463767977
started,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20080916-1301,org.eclipse.ecf.provider.bittorrent.ui,1238463767994
started,bundle,org.eclipse.ecf.example.collab,1.3.0.v20080916-1301,org.eclipse.ecf.example.collab,1238463768061
started,bundle,org.eclipse.ecf.provider.xmpp.ui,2.0.0.v20080916-1301,org.eclipse.ecf.provider.xmpp.ui,1238463768097
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1238463768162
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238463773091
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238463778540
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1238463786286
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1238463786308
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1238463786342
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1238463786370
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238463786400
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238463788815
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238463789154
stopped,bundle,com.cloudgarden.jigloo,4.2.0,com.cloudgarden.jigloo,1238463790826
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1238463790826
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1238463790826
